Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	199	Fc4:1 - 3	-3.2	199	Ag124-Fc		428_B1_1_01_D04
Yes	199	Fc4:2 - 3	8.8	199	Ag124 IgV		428_B1_1_01_D04
Yes	200	Fc1:1 - 3	-1.3	200	Ag124-Fc		428_B1_1_01_A05
Yes	200	Fc1:2 - 3	10.3	200	Ag124 IgV		428_B1_1_01_A05
Yes	200	Fc2:1 - 3	-3.1	200	Ag124-Fc		428_B1_1_01_B05
Yes	200	Fc2:2 - 3	10.8	200	Ag124 IgV		428_B1_1_01_B05
Yes	200	Fc3:1 - 3	-0.6	200	Ag124-Fc		428_B1_1_01_C05
Yes	200	Fc3:2 - 3	12.5	200	Ag124 IgV		428_B1_1_01_C05
Yes	200	Fc4:1 - 3	-3.9	200	Ag124-Fc		428_B1_1_01_D05
Yes	200	Fc4:2 - 3	8.3	200	Ag124 IgV		428_B1_1_01_D05
Yes	201	Fc1:1 - 3	-1.6	201	Ag124-Fc		428_B1_1_01_A06
Yes	201	Fc1:2 - 3	9.2	201	Ag124 IgV		428_B1_1_01_A06
Yes	201	Fc2:1 - 3	0.8	201	Ag124-Fc		428_B1_1_01_B06
Yes	201	Fc2:2 - 3	19.2	201	Ag124 IgV		428_B1_1_01_B06
Yes	201	Fc3:1 - 3	-1.0	201	Ag124-Fc		428_B1_1_01_C06
Yes	201	Fc3:2 - 3	10.5	201	Ag124 IgV		428_B1_1_01_C06
Yes	201	Fc4:1 - 3	-2.9	201	Ag124-Fc		428_B1_1_01_D06
Yes	201	Fc4:2 - 3	7.8	201	Ag124 IgV		428_B1_1_01_D06
Yes	202	Fc1:1 - 3	26.3	202	Ag124-Fc		428_B1_1_01_A07
Yes	202	Fc1:2 - 3	63.5	202	Ag124 IgV		428_B1_1_01_A07
Yes	202	Fc2:1 - 3	-2.5	202	Ag124-Fc		428_B1_1_01_B07
Yes	202	Fc2:2 - 3	10.8	202	Ag124 IgV		428_B1_1_01_B07
Yes	202	Fc3:1 - 3	25.4	202	Ag124-Fc		428_B1_1_01_C07
Yes	202	Fc3:2 - 3	60.0	202	Ag124 IgV		428_B1_1_01_C07
Yes	202	Fc4:1 - 3	-2.4	202	Ag124-Fc		428_B1_1_01_D07
Yes	202	Fc4:2 - 3	9.6	202	Ag124 IgV		428_B1_1_01_D07
Yes	203	Fc1:1 - 3	-5.6	203	Ag124-Fc		428_B1_1_01_A08
Yes	203	Fc1:2 - 3	5.1	203	Ag124 IgV		428_B1_1_01_A08
Yes	203	Fc2:1 - 3	-1.6	203	Ag124-Fc		428_B1_1_01_B08
Yes	203	Fc2:2 - 3	14.0	203	Ag124 IgV		428_B1_1_01_B08
Yes	203	Fc3:1 - 3	-4.4	203	Ag124-Fc		428_B1_1_01_C08
Yes	203	Fc3:2 - 3	5.6	203	Ag124 IgV		428_B1_1_01_C08
Yes	203	Fc4:1 - 3	30.2	203	Ag124-Fc		428_B1_1_01_D08
Yes	203	Fc4:2 - 3	68.5	203	Ag124 IgV		428_B1_1_01_D08
Yes	204	Fc1:1 - 3	-3.3	204	Ag124-Fc		428_B1_1_01_A09
Yes	204	Fc1:2 - 3	6.6	204	Ag124 IgV		428_B1_1_01_A09
Yes	204	Fc2:1 - 3	-2.2	204	Ag124-Fc		428_B1_1_01_B09
Yes	204	Fc2:2 - 3	16.5	204	Ag124 IgV		428_B1_1_01_B09
Yes	204	Fc3:1 - 3	-0.6	204	Ag124-Fc		428_B1_1_01_C09
Yes	204	Fc3:2 - 3	13.7	204	Ag124 IgV		428_B1_1_01_C09
Yes	204	Fc4:1 - 3	-7.0	204	Ag124-Fc		428_B1_1_01_D09
Yes	204	Fc4:2 - 3	0.1	204	Ag124 IgV		428_B1_1_01_D09
Yes	205	Fc1:1 - 3	-1.3	205	Ag124-Fc		428_B1_1_01_A10
Yes	205	Fc1:2 - 3	10.2	205	Ag124 IgV		428_B1_1_01_A10
Yes	205	Fc2:1 - 3	-0.1	205	Ag124-Fc		428_B1_1_01_B10
Yes	205	Fc2:2 - 3	12.7	205	Ag124 IgV		428_B1_1_01_B10
Yes	205	Fc3:1 - 3	-0.7	205	Ag124-Fc		428_B1_1_01_C10
Yes	205	Fc3:2 - 3	11.3	205	Ag124 IgV		428_B1_1_01_C10
Yes	205	Fc4:1 - 3	-3.3	205	Ag124-Fc		428_B1_1_01_D10
Yes	205	Fc4:2 - 3	6.2	205	Ag124 IgV		428_B1_1_01_D10
Yes	206	Fc1:1 - 3	26.3	206	Ag124-Fc		428_B1_1_01_A11
Yes	206	Fc1:2 - 3	61.0	206	Ag124 IgV		428_B1_1_01_A11
Yes	206	Fc2:1 - 3	-3.6	206	Ag124-Fc		428_B1_1_01_B11
Yes	206	Fc2:2 - 3	4.6	206	Ag124 IgV		428_B1_1_01_B11
Yes	206	Fc3:1 - 3	-0.9	206	Ag124-Fc		428_B1_1_01_C11
Yes	206	Fc3:2 - 3	7.6	206	Ag124 IgV		428_B1_1_01_C11
Yes	206	Fc4:1 - 3	-0.7	206	Ag124-Fc		428_B1_1_01_D11
Yes	206	Fc4:2 - 3	8.8	206	Ag124 IgV		428_B1_1_01_D11
Yes	207	Fc1:1 - 3	-4.6	207	Ag124-Fc		428_B1_1_01_A12
Yes	207	Fc1:2 - 3	7.6	207	Ag124 IgV		428_B1_1_01_A12
Yes	207	Fc2:1 - 3	-2.7	207	Ag124-Fc		428_B1_1_01_B12
Yes	207	Fc2:2 - 3	2.8	207	Ag124 IgV		428_B1_1_01_B12
Yes	207	Fc3:1 - 3	1.7	207	Ag124-Fc		428_B1_1_01_C12
Yes	207	Fc3:2 - 3	13.1	207	Ag124 IgV		428_B1_1_01_C12
Yes	207	Fc4:1 - 3	0.1	207	Ag124-Fc		428_B1_1_01_D12
Yes	207	Fc4:2 - 3	12.3	207	Ag124 IgV		428_B1_1_01_D12
Yes	208	Fc1:1 - 3	-2.7	208	Ag124-Fc		428_B1_1_01_E01
Yes	208	Fc1:2 - 3	3.4	208	Ag124 IgV		428_B1_1_01_E01
Yes	208	Fc2:1 - 3	1.4	208	Ag124-Fc		428_B1_1_01_F01
Yes	208	Fc2:2 - 3	12.8	208	Ag124 IgV		428_B1_1_01_F01
Yes	208	Fc3:1 - 3	0.8	208	Ag124-Fc		428_B1_1_01_G01
Yes	208	Fc3:2 - 3	11.2	208	Ag124 IgV		428_B1_1_01_G01
Yes	208	Fc4:1 - 3	-1.2	208	Ag124-Fc		428_B1_1_01_H01
Yes	208	Fc4:2 - 3	9.6	208	Ag124 IgV		428_B1_1_01_H01
Yes	209	Fc1:1 - 3	-3.3	209	Ag124-Fc		428_B1_1_01_E02
Yes	209	Fc1:2 - 3	4.2	209	Ag124 IgV		428_B1_1_01_E02
Yes	209	Fc2:1 - 3	-2.6	209	Ag124-Fc		428_B1_1_01_F02
Yes	209	Fc2:2 - 3	12.0	209	Ag124 IgV		428_B1_1_01_F02
Yes	209	Fc3:1 - 3	-1.2	209	Ag124-Fc		428_B1_1_01_G02
Yes	209	Fc3:2 - 3	7.0	209	Ag124 IgV		428_B1_1_01_G02
Yes	209	Fc4:1 - 3	-1.4	209	Ag124-Fc		428_B1_1_01_H02
Yes	209	Fc4:2 - 3	8.6	209	Ag124 IgV		428_B1_1_01_H02
Yes	210	Fc1:1 - 3	-2.0	210	Ag124-Fc		428_B1_1_01_E03
Yes	210	Fc1:2 - 3	8.9	210	Ag124 IgV		428_B1_1_01_E03
Yes	210	Fc2:1 - 3	4.2	210	Ag124-Fc		428_B1_1_01_F03
